experiment,acc,prec,rec,f1
1,0.2607655502392344,0.07170068597546266,0.09168964919949867,0.07746207565912576
2,0.15151515151515152,0.005411255411255411,0.03571428571428571,0.009398496240601503
3,0.2631578947368421,0.059775660837597146,0.07464578337304285,0.06381057087717742
4,0.2527910685805423,0.06400824641862547,0.08114771873254771,0.06934845649507897
5,0.2240829346092504,0.04696583418680617,0.06907455995519793,0.052657715721980206
6,0.23843700159489634,0.07100535525275231,0.07927964502355435,0.07215130879537665
7,0.23843700159489634,0.06709799095319523,0.07985463240192946,0.06740043160450536
8,0.24641148325358853,0.061383394268414646,0.08194269889855939,0.06603685655132974
9,0.24481658692185007,0.053416187566114014,0.07519394636545036,0.05841041813198849
